Nr,Top 5 activitati barbatesti
1,Violat femei
2,Cutii
3,Condus beat pe A3
4,Tuborg la ore
5,Discursuri lungi
6,Sexul feminin e inferior
7,Blocat diferentiale la vitare
8,Batut femei
9,Degradarea femeilor
10,Uifalean e de vina
11,Construit cabana
12,Dat cu pumnu in masa
13,Violeaza pe ania
14,Broaste
15,Nicu
16,Imbatat ca porcu oricand se iveste ocazia
17,Remarcare la ASE
18,Accidente auto ce implica tiruri de mare tonaj
19,O placere distinsa fata de propria mancare digerata (Shaorma Socului)
20,Furatul calculatoarelor de serviciu
21,Investigatii
22,Ancheta
23,Vorbit pe la spate
24,Alifie in partea dorsala pentru prevenirea usturimii
25,Imbatarea prematura in scopul seducerii sexului Feminin
26,Sustinere antivax
27,Ducerea propriei broaste la shaorma baneasa
28,Apararea mezinului Al Sayegh
29,Dat mare cu Vitar
30,Investitii multiple de oridinul miilor de euro in masina SUZUKI VITARA (SUZI-Nicu)
31,Construire de cabane
32,Abuz de putere a lu tata meu
33,Utilizarea materialelor aflate la reducere in vederea constructiei
34,Procurarea masinior de spalat la reducere din altex suceava
35,Nepurtarea centurii de siguranta
36,Comparatia sa cu fostii sai prieteni pentru a-si afisa inteligenta superioara
37,Uzarea prematura a ambreiajului tip AEA
38,Cumparare de drone
39,Zmucirea cutiei de viteze pentru a face masina sa para puternica
40,"Utilizarea unei bate pentru a induce frica in inculpatii Tihon Alexandru si Uifalean Stefan, care asa cum reiese din spusele barbatului: AU AVUT NOROC CA AU DORMIT ACOLO SI N AM PUTUT SA LE FAC NIMIC."
41,Folosirea manerului de barbat de pe stalpul masinilor
42,Bataie cu oamenii legii pana la uciderea acestora
43,Metoda linsului pe degete in favoarea igienizarii mainilor
44,Metoda dregerii glasului
45,Metoda obtinerii celei mai mari note la bac. Dintre toti. Baietii.
46,Ruperea comenzilor de pe usa de nervi
47,Utilizarea pastilelor de stomac in vederea dormitului pe jos in baie
48,Metoda informarii corecte (de fiecare data mai buna decat metoda domnilor Rusu si Uifalean)
49,Cunoasterea locului femeii in societate (net inferioara barbatului)
50,Plasarea Mamei in bucatarie
51,Influentabilitatea crescuta asupra indivizilor sava catalin si staicu mihai
52,Metoda tinutului ochilor in pamant in dispute cu inamici
53,Procurarea masinilor hyundai
54,Nascocirea unor sume de plata fantoma in vederea impresionarii cunostintelor/amicilor
55,Repararea camerelor de marsarirer
56,Urinarea pe plaja la costinesti
57,Alifia Bepanthen este mereu prezenta in dotarea Barbatului.
58,Pastrarea unor poze si melodii
59,Inventarierea acestora in cutii
60,Vomitat
61,Strajerit la sighisoara de pasti
62,Neudarea Bonsaiului din Sufragerie
63,Darea la broask
64,Cumparare de petarde la tona din dragon
65,Victimizarea in vederea obtinerii unei relatii
66,Calitati bune de orator
67,Recomandarea de carti
68,Asaltarea verbala asupra masinistilor
69,Urlat la domnisoarele de la lizeanu
70,Ignorarea drepturilor femeii
71,Blocarea vitarei si ulterior scoaterea ei chemand un tractor tip john deere
72,Utilizarea palmei ca arma impotriva contra argumentelor
73,Vasta cunostina a istoriei
74,Utilizarea grafitti-ului in vederea primirii unei palme de la NICU
75,Comert ilegal in liceu cu haine din dragon
76,"Organizarea ""marii tepe"""
77,Neasigurarea masinii inainte de parasirea acesteia rezultand un terbil accident rutier
78,Utilizarea unui plan in vederea distrugerii inamicilor
79,Plantarea sistematica a informatiilor eronate in vederea sabotarii relatiei de prietenie dintre inamici si sava
80,Dormitul a 8 ore in curtea lui Dan
